title,property_size,bedrooms,bathrooms,furnishing,Region,Region Name,Region_Parent_Name,is_boost,price
4bdrm Duplex in Osapa london for sale,500.0,4,4,Semi Furnished,"Lekki, Osapa london",Osapa london,Lagos State,False,350000000
5bdrm Duplex in Ikota for sale,200.0,5,5,Semi Furnished,"Lekki, Ikota",Ikota,Lagos State,False,400000000
2bdrm Apartment in Ikeja GRA for sale,500.0,2,2,Semi Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,False,180000000
5bdrm Duplex in Ikate for sale,500.0,5,5,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,False,900000000
2bdrm Duplex in Ajah for sale,500.0,2,2,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,110000000
3bdrm Duplex in New Garage / Gbagada for sale,500.0,3,3,Semi Furnished,"Gbagada, New Garage / Gbagada",New Garage / Gbagada,Lagos State,False,230000000
5bdrm Duplex in Chevron for sale,200.0,5,5,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,False,450000000
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,305000000
3bdrm Apartment in Victoria Island Extension for sale,500.0,3,3,Semi Furnished,"Victoria Island, Victoria Island Extension",Victoria Island Extension,Lagos State,False,400000000
4bdrm Duplex in New Garage / Gbagada for sale,500.0,4,4,Semi Furnished,"Gbagada, New Garage / Gbagada",New Garage / Gbagada,Lagos State,False,240000000
3bdrm Apartment in Lekki for sale,500.0,3,3,Unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,150000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,300000000
4bdrm Duplex in Ogudu GRA for sale,500.0,4,4,Semi Furnished,"Ogudu, Ogudu GRA",Ogudu GRA,Lagos State,False,480000000
5bdrm Duplex in Omole Phase 1 for sale,500.0,5,5,Semi Furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,False,700000000
2bdrm Duplex in Lekki Phase 1 for sale,500.0,2,2,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,280000000
6bdrm Duplex in Lekki Expressway for sale,500.0,6,6,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,400000000
5bdrm House in VGC / Ajah for sale,500.0,5,5,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,False,380000000
5bdrm Duplex in Ikate for sale,500.0,5,5,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,False,800000000
2bdrm Block of Flats in Lekki Phase 1 for sale,500.0,2,3,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,330000000
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,350000000
4bdrm Duplex in Ogba Bus-Stop for sale,500.0,4,4,Semi Furnished,"Ogba, Ogba Bus-Stop",Ogba Bus-Stop,Lagos State,False,250000000
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,300000000
4bdrm Duplex in Ikota for sale,500.0,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,False,150000000
5bdrm Duplex in Lekki for sale,500.0,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,650000000
3bdrm Duplex in Lekki Phase 1 for sale,500.0,3,3,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,600000000
4bdrm Duplex in Phase 1 / Gbagada for sale,500.0,4,4,Semi Furnished,"Gbagada, Phase 1 / Gbagada",Phase 1 / Gbagada,Lagos State,False,250000000
5bdrm Duplex in Chevron for sale,500.0,5,5,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,False,450000000
2bdrm Apartment in Egbeda for sale,500.0,2,2,Semi Furnished,"Alimosho, Egbeda",Egbeda,Lagos State,False,250000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,550000000
4bdrm Duplex in Papa Ajao / Mushin for sale,500.0,4,4,Semi Furnished,"Mushin, Papa Ajao / Mushin",Papa Ajao / Mushin,Lagos State,False,320000000
1bdrm Apartment in Lekki Expressway for sale,500.0,1,1,Unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,82000000
4bdrm Duplex in Chevron for sale,500.0,4,4,Unfurnished,"Lekki, Chevron",Chevron,Lagos State,False,350000000
4bdrm Duplex in Ikota for sale,200.0,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,False,200000000
4bdrm Duplex in Berger for sale,500.0,4,4,Semi Furnished,"Ojodu, Berger",Berger,Lagos State,False,290000000
5bdrm Duplex in Lekki for sale,500.0,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,430000000
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,370000000
4bdrm Duplex in GRA Phase 1 for sale,500.0,4,4,Semi Furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,420000000
2bdrm Maisonette in Cement for sale,500.0,2,2,Semi Furnished,"Agege, Cement",Cement,Lagos State,False,140000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,450000000
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,650000000
2bdrm Apartment in Chevron for sale,500.0,2,2,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,False,160000000
5bdrm Duplex in Omole Phase 1 for sale,500.0,5,5,Semi Furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,False,950000000
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,350000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,240000000
4bdrm Apartment in Lekki Phase 1 for sale,500.0,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,400000000
5bdrm Duplex in Chevron for sale,500.0,5,5,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,False,500000000
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,340000000
4bdrm Duplex in GRA Phase 2 Shangisha for sale,500.0,4,4,Semi Furnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos State,False,520000000
5bdrm Duplex in Adeniyi Jones for sale,500.0,5,5,Semi Furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,600000000
4bdrm Duplex in Fagba for sale,500.0,4,4,Semi Furnished,"Agege, Fagba",Fagba,Lagos State,False,240000000
2bdrm Maisonette in Ikate for sale,500.0,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,False,250000000
5bdrm Duplex in Ikota for sale,500.0,5,5,Semi Furnished,"Lekki, Ikota",Ikota,Lagos State,False,420000000
2bdrm Room & Parlour in Abule Egba for sale,200.0,2,2,Unfurnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,False,30000000
4bdrm Duplex in New Garage / Gbagada for sale,500.0,4,4,Semi Furnished,"Gbagada, New Garage / Gbagada",New Garage / Gbagada,Lagos State,False,350000000
5bdrm Duplex in Ajah for sale,500.0,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,270000000
5bdrm Duplex in Ado / Ajah for sale,500.0,5,5,Semi Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,230000000
3bdrm Apartment in Allen Avenue for sale,500.0,3,3,Semi Furnished,"Ikeja, Allen Avenue",Allen Avenue,Lagos State,False,275000000
4bdrm Duplex in GRA Phase 1 for sale,500.0,4,4,Semi Furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,350000000
5bdrm Duplex in Ogba GRA for sale,500.0,5,5,Semi Furnished,"Ogba, Ogba GRA",Ogba GRA,Lagos State,False,520000000
4bdrm Duplex in Ikota for sale,500.0,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,False,180000000
4bdrm Apartment in Thomas Estate for sale,500.0,4,4,Semi Furnished,"Ajah, Thomas Estate",Thomas Estate,Lagos State,False,195000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,750000000
4bdrm Maisonette in Opebi for sale,500.0,4,4,Semi Furnished,"Ikeja, Opebi",Opebi,Lagos State,False,420000000
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,500000000
4bdrm Duplex in Ajah for sale,500.0,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,160000000
3bdrm Duplex in Ikota for sale,500.0,3,3,Semi Furnished,"Lekki, Ikota",Ikota,Lagos State,False,135000000
Furnished 4bdrm Duplex in Guzape District for sale,250.0,4,4,Furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),diamond,450000000
4bdrm Maisonette in Ikorodu Road / Ilupeju for sale,500.0,4,4,Semi Furnished,"Ilupeju, Ikorodu Road / Ilupeju",Ikorodu Road / Ilupeju,Ilupeju,False,243000000
4bdrm Duplex in Oko-Oba for sale,500.0,4,4,Semi Furnished,"Agege, Oko-Oba",Oko-Oba,Lagos State,False,380000000
Furnished 4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,160000000
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,300000000
4bdrm Duplex in Ikota for sale,500.0,4,4,Semi Furnished,"Lekki, Ikota",Ikota,Lagos State,False,200000000
3bdrm Duplex in GRA Phase 1 for sale,500.0,3,3,Semi Furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,350000000
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,280000000
3bdrm Apartment in New Garage / Gbagada for sale,500.0,3,3,Semi Furnished,"Gbagada, New Garage / Gbagada",New Garage / Gbagada,Lagos State,False,150000000
3bdrm Duplex in Ojuelegba for sale,500.0,3,3,Semi Furnished,"Surulere, Ojuelegba",Ojuelegba,Lagos State,False,400000000
3bdrm Townhouse/Terrace in Off Lekki-Epe Expressway for sale,250.0,3,3,Semi Furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,diamond,150000000
4bdrm Duplex in Alausa for sale,500.0,4,4,Semi Furnished,"Ikeja, Alausa",Alausa,Lagos State,False,400000000
2bdrm Apartment in Lekki Expressway for sale,500.0,2,2,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,130000000
3bdrm Apartment in Ikeja GRA for sale,500.0,3,3,Semi Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,False,320000000
4bdrm Duplex in Ogudu GRA for sale,500.0,4,4,Semi Furnished,"Ogudu, Ogudu GRA",Ogudu GRA,Lagos State,False,550000000
4bdrm Duplex in Ikorodu Garage for sale,500.0,4,4,Semi Furnished,"Ikorodu, Ikorodu Garage",Ikorodu Garage,Lagos State,False,280000000
3bdrm Penthouse in Ikate for sale,500.0,3,3,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,False,300000000
2bdrm Apartment in Oregun for sale,500.0,2,2,Semi Furnished,"Ikeja, Oregun",Oregun,Lagos State,False,140000000
2bdrm Apartment in Ikate for sale,500.0,2,2,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,False,140000000
4bdrm Duplex in Ikate for sale,500.0,4,4,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,False,300000000
5bdrm Duplex in Papa Ajao / Surulere for sale,500.0,5,5,Semi Furnished,"Surulere, Papa Ajao / Surulere",Papa Ajao / Surulere,Lagos State,False,450000000
4bdrm Duplex in VGC / Ajah for sale,500.0,4,4,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,False,190000000
3bdrm Apartment in Sabo / Yaba for sale,500.0,3,3,Semi Furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Yaba,False,165000000
3bdrm Duplex in Fagba Ifako Ijaiye for sale,180.0,3,3,Semi Furnished,"Agege, Fagba",Fagba,Lagos State,enterprise,240000000
Furnished 3bdrm Block of Flats in Ikosi Ketu for sale,684.0,3,3,Furnished,"Kosofe, Ketu-Ikosi",Ketu-Ikosi,Lagos State,basic,350000000
"Furnished 3bdrm Penthouse in Seman Metropolis, Sabon Lugbe for sale",600.0,3,4,Furnished,"Lugbe District, Sabon Lugbe",Sabon Lugbe,Lagos State,False,180000000
2bdrm Apartment in Lekki Expressway for sale,500.0,2,2,Unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,120000000
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,195000000
6bdrm Duplex in Chevron for sale,500.0,6,6,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,False,900000000
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,650000000
5bdrm Duplex in Chevron for sale,500.0,5,5,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,False,350000000
4bdrm Duplex in Sabo / Yaba for sale,500.0,4,4,Semi Furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Yaba,False,260000000
3bdrm Apartment in East West Road for sale,500.0,3,4,Semi Furnished,"Port-Harcourt, East West Road",East West Road,Port-Harcourt,enterprise,115000000
Furnished 5bdrm Duplex in Ikota Lekki for sale,520.0,5,5,Furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,200000000
3bdrm Duplex in Lekki for sale,500.0,3,3,Unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,150000000
3bdrm Apartment in Oregun for sale,500.0,3,3,Semi Furnished,"Ikeja, Oregun",Oregun,Lagos State,False,170000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,330000000
4bdrm House in Ikoyi S.W for sale,500.0,4,4,Semi Furnished,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Lagos State,False,449000000
4bdrm Duplex in Ologolo for sale,500.0,4,4,Semi Furnished,"Lekki, Ologolo",Ologolo,Lagos State,False,200000000
5bdrm Duplex in Lekki Phase 1 for sale,200.0,5,6,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,850000000
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,200000000
4bdrm Duplex in GRA Phase 1 for sale,500.0,4,4,Semi Furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,470000000
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,200000000
3bdrm Apartment in Adeniyi Jones for sale,500.0,3,3,Semi Furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,300000000
5bdrm Duplex in Ologolo for sale,500.0,5,5,Semi Furnished,"Lekki, Ologolo",Ologolo,Lagos State,False,390000000
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Semi Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,330000000
"5bdrm Duplex in F01, Kubwa for sale",550.0,5,5,Semi Furnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),False,185000000
Furnished 5bdrm Duplex in Lekki Ikota for sale,520.0,5,5,Furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,470000000
2bdrm Apartment in Ologolo for sale,500.0,2,2,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos State,False,100000000
4bdrm Duplex in Sabo / Yaba for sale,500.0,4,4,Semi Furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Yaba,False,300000000
5bdrm Duplex in Isheri North for sale,500.0,5,5,Semi Furnished,"Ojodu, Isheri North",Isheri North,Lagos State,False,360000000
2bdrm Apartment in Ologolo for sale,500.0,2,2,Semi Furnished,"Lekki, Ologolo",Ologolo,Lagos State,False,120000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,500000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,530000000
5bdrm Duplex in Chevron for sale,500.0,5,5,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,False,550000000
2bdrm Apartment in Lekki Expressway for sale,200.0,2,2,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,120000000
2bdrm Apartment in Ikate for sale,500.0,2,2,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,False,160000000
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,850000000
4bdrm Duplex in Agbado for sale,500.0,4,4,Semi Furnished,"Ifako-Ijaiye, Agbado",Agbado,Lagos State,False,330000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,430000000
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Semi Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,190000000
3bdrm Block of Flats in Mabushi for sale,350.0,3,3,Unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),diamond,180000000
4bdrm Duplex in Fagba Ifako Ijaiye for sale,220.0,4,4,Semi Furnished,"Agege, Fagba",Fagba,Lagos State,enterprise,275000000
2bdrm Penthouse in Ikate for sale,500.0,2,2,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,False,260000000
2bdrm Apartment in Ajah for sale,200.0,2,3,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,80000000
4bdrm Duplex in Ogba for sale,500.0,4,4,Semi Furnished,"Ogba, Aguda / Ogba",Aguda / Ogba,Lagos State,False,260000000
4bdrm Duplex in Aguda / Surulere for sale,500.0,4,4,Semi Furnished,"Surulere, Aguda / Surulere",Aguda / Surulere,Lagos State,False,300000000
4bdrm Duplex in Oko-Oba for sale,500.0,4,4,Semi Furnished,"Agege, Oko-Oba",Oko-Oba,Lagos State,False,550000000
4bdrm Duplex in Berger for sale,500.0,4,4,Semi Furnished,"Ojodu, Berger",Berger,Lagos State,False,130000000
4bdrm Duplex in Anthony Village for sale,500.0,4,4,Semi Furnished,"Maryland, Anthony Village",Anthony Village,Lagos State,False,350000000
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Semi Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,135000000
3bdrm Duplex in Ado / Ajah for sale,500.0,3,3,Semi Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,120000000
4bdrm Duplex in Adeniyi Jones for sale,500.0,4,4,Semi Furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,400000000
4bdrm Duplex in Adeniyi Jones for sale,500.0,4,4,Semi Furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,380000000
4bdrm Duplex in LSDPC Maryland Estate for sale,500.0,4,4,Semi Furnished,"Maryland, LSDPC Maryland Estate",LSDPC Maryland Estate,Lagos State,False,290000000
4bdrm Duplex in Berger for sale,500.0,4,4,Semi Furnished,"Ojodu, Berger",Berger,Lagos State,False,560000000
5bdrm Duplex in Lekki Phase 2 for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos State,False,550000000
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,700000000
4bdrm Duplex in Lekki for sale,200.0,4,5,Semi Furnished,"Lagos State, Lekki",Lekki,Lagos State,False,260000000
1bdrm Apartment in Lekki Expressway for sale,500.0,1,1,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,85000000
"6bdrm Bungalow in Ogba Ayo, Ogunlana for sale",648.0,6,8,Semi Furnished,"Surulere, Ogunlana",Ogunlana,Lagos State,False,17000000
4bdrm Duplex in Ikota for sale,500.0,4,4,Semi Furnished,"Lekki, Ikota",Ikota,Lagos State,False,195000000
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Semi Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,130000000
"3bdrm Bungalow in Kajola Ogba Ayo, Ado-Odo/Ota for sale",500.0,3,4,Semi Furnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,enterprise,4500000
1bdrm Apartment in Ajah for sale,500.0,1,1,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,55000000
3bdrm Duplex in Ogba GRA for sale,500.0,3,3,Semi Furnished,"Ogba, Ogba GRA",Ogba GRA,Lagos State,False,210000000
2bdrm Penthouse in Ikate for sale,500.0,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,False,270000000
5bdrm Duplex in Off Lekki-Epe Expressway for sale,500.0,5,5,Semi Furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,False,420000000
5bdrm Duplex in Apo Resettlement for sale,500.0,5,5,Unfurnished,"Apo District, Apo Resettlement",Apo Resettlement,Apo District,diamond,400000000
2bdrm Block of Flats in Ilogbo Ota Ogun for sale,600.0,2,3,Semi Furnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,enterprise,28000000
4bdrm Duplex in Ogba Bus-Stop for sale,400.0,4,4,Semi Furnished,"Ogba, Ogba Bus-Stop",Ogba Bus-Stop,Lagos State,vip_gold,260000000
"1bdrm Bungalow in Ughoton, Warri for sale",1848.0,1,1,Unfurnished,"Delta State, Warri",Warri,Delta State,vip_gold,55000000
"5bdrm Duplex in Pleasant View, Sabon Lugbe for sale",400.0,5,5,Unfurnished,"Lugbe District, Sabon Lugbe",Sabon Lugbe,Lagos State,diamond,80000000
"3bdrm Duplex in Gbagada, Medina for sale",300.0,3,4,Semi Furnished,"Gbagada, Medina",Medina,Lagos State,enterprise,210000000
Furnished 2bdrm Apartment in Ikate for sale,500.0,2,2,Furnished,"Lekki, Ikate",Ikate,Lagos State,False,245000000
3bdrm Apartment in Victoria Island Extension for sale,500.0,3,3,Semi Furnished,"Victoria Island, Victoria Island Extension",Victoria Island Extension,Lagos State,False,700000000
4bdrm Duplex in Ikota for sale,200.0,4,5,Semi Furnished,"Lekki, Ikota",Ikota,Lagos State,False,230000000
Furnished 5bdrm Duplex in Lekki Ologolo for sale,580.0,5,5,Furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,420000000
